"text","locale","scopes","audio_status","asset","families","sources"
"Áo khoác: Raincoat hay Jacket?","vi-VN","current","ready","assets/audio/CURRICULUM/20ea80aa106e718f8f26b0a7.vi.v1.mp3","challenge_question","lib/features/listening/presentation/lesson_challenge_screen.dart"
"Áo khoác.","vi-VN","current;catalog_only","ready","assets/audio/CURRICULUM/3e8ca4b1d5d0f4994b1fac8b.vi.v1.mp3","core_vi;challenge_answer_vi","lib/features/listening/presentation/lesson_practice_screen.dart;assets/data/listening_lessons.json"
"Áo mưa: Raincoat hay Hat?","vi-VN","current","ready","assets/audio/CURRICULUM/b68a676d01cd19bdd344813c.vi.v1.mp3","challenge_question","lib/features/listening/presentation/lesson_challenge_screen.dart"
"Áo mưa.","vi-VN","current;catalog_only","ready","assets/audio/CURRICULUM/1ae505d6666eb947c70c63b6.vi.v1.mp3","core_vi;challenge_answer_vi","lib/features/listening/presentation/lesson_practice_screen.dart;assets/data/listening_lessons.json"
"Áo thun: T-shirt hay Jacket?","vi-VN","current","ready","assets/audio/CURRICULUM/b63a95ee837f1e95afeb99ec.vi.v1.mp3","challenge_question","lib/features/listening/presentation/lesson_challenge_screen.dart"
"Áo thun.","vi-VN","current;catalog_only","ready","assets/audio/CURRICULUM/65e480a2b218dcb65b06e34f.vi.v1.mp3","core_vi;challenge_answer_vi","lib/features/listening/presentation/lesson_practice_screen.dart;assets/data/listening_lessons.json"
"Áo: Shirt hay Shoes?","vi-VN","audio_catalog_only","ready","assets/audio/CURRICULUM/fdbacc3a8e9e86c39997b676.vi.v1.mp3","audio_not_traced","assets/data/curriculum_audio.json"
"Áo.","vi-VN","current;catalog_only","ready","assets/audio/CURRICULUM/398d81019adaff4ee3ffb701.vi.v1.mp3","core_vi;challenge_answer_vi","lib/features/listening/presentation/lesson_practice_screen.dart;assets/data/listening_lessons.json"
"Apple, please.","en-US","current","ready","assets/audio/CURRICULUM/e0a8dfd508d17faa1bbe3e67.en.v1.mp3","core_en;challenge_answer_en","lib/features/listening/presentation/lesson_practice_screen.dart;lib/features/listening/presentation/lesson_challenge_screen.dart"
"Apple.","en-US","current","ready","assets/audio/CURRICULUM/2a3b5d514a141d560ccd8e52.en.v1.mp3","challenge_answer_en;core_en","lib/features/listening/presentation/lesson_challenge_screen.dart;lib/features/listening/presentation/lesson_practice_screen.dart"
"Apples.","en-US","current","ready","assets/audio/CURRICULUM/ef8264f5791d59c1a0f563e6.en.v1.mp3","core_en;challenge_answer_en","lib/features/listening/presentation/lesson_practice_screen.dart;lib/features/listening/presentation/lesson_challenge_screen.dart"
"Are you free Saturday?","en-US","current","ready","assets/audio/CURRICULUM/482e43652f567d228ad4b968.en.v1.mp3","core_en;challenge_answer_en","lib/features/listening/presentation/lesson_practice_screen.dart;lib/features/listening/presentation/lesson_challenge_screen.dart"
"Are you okay?","en-US","current","ready","assets/audio/CURRICULUM/3e48454262d06c93d6a42ec1.en.v1.mp3","core_en;challenge_answer_en","lib/features/listening/presentation/lesson_practice_screen.dart;lib/features/listening/presentation/lesson_challenge_screen.dart"
"Art.","en-US","current","ready","assets/audio/CURRICULUM/36cac5afd6b43d8f8b0d8beb.en.v1.mp3","core_en;challenge_answer_en","lib/features/listening/presentation/lesson_practice_screen.dart;lib/features/listening/presentation/lesson_challenge_screen.dart"
"Ask for feedback.","en-US","current","ready","assets/audio/CURRICULUM/52b9ea886a9f6406e6c427f8.en.v1.mp3","core_en;challenge_answer_en","lib/features/listening/presentation/lesson_practice_screen.dart;lib/features/listening/presentation/lesson_challenge_screen.dart"
"Ask the teacher.","en-US","current","ready","assets/audio/CURRICULUM/f42fec48e0de953b12ad12ae.en.v1.mp3","core_en;challenge_answer_en","lib/features/listening/presentation/lesson_practice_screen.dart;lib/features/listening/presentation/lesson_challenge_screen.dart"
"At five thirty.","en-US","current","ready","assets/audio/CURRICULUM/d294db0217067131650d169a.en.v1.mp3","core_en;challenge_answer_en","lib/features/listening/presentation/lesson_practice_screen.dart;lib/features/listening/presentation/lesson_challenge_screen.dart"
"At night.","en-US","current","ready","assets/audio/CURRICULUM/e536d17f08dd3217642d8b87.en.v1.mp3","core_en;challenge_answer_en","lib/features/listening/presentation/lesson_practice_screen.dart;lib/features/listening/presentation/lesson_challenge_screen.dart"
"At noon.","en-US","current","ready","assets/audio/CURRICULUM/71e51112a29267c6f16cbe7f.en.v1.mp3","core_en;challenge_answer_en","lib/features/listening/presentation/lesson_practice_screen.dart;lib/features/listening/presentation/lesson_challenge_screen.dart"
"At school.","en-US","current","ready","assets/audio/CURRICULUM/f4d06d3644bb98a6be28f352.en.v1.mp3","core_en;challenge_answer_en","lib/features/listening/presentation/lesson_practice_screen.dart;lib/features/listening/presentation/lesson_challenge_screen.dart"
"At the library.","en-US","current","ready","assets/audio/CURRICULUM/13efdd354ac511b4466c37b7.en.v1.mp3","core_en;challenge_answer_en","lib/features/listening/presentation/lesson_practice_screen.dart;lib/features/listening/presentation/lesson_challenge_screen.dart"
"At the park.","en-US","current","ready","assets/audio/CURRICULUM/6d54c9b42014d4c9b9117ea9.en.v1.mp3","core_en;challenge_answer_en","lib/features/listening/presentation/lesson_practice_screen.dart;lib/features/listening/presentation/lesson_challenge_screen.dart"
"At the playground.","en-US","current","ready","assets/audio/CURRICULUM/a10e55c2d799e94462651d5e.en.v1.mp3","core_en;challenge_answer_en","lib/features/listening/presentation/lesson_practice_screen.dart;lib/features/listening/presentation/lesson_challenge_screen.dart"
"At the shop.","en-US","current","ready","assets/audio/CURRICULUM/3b3334d2b41af1d84600b8c5.en.v1.mp3","core_en;challenge_answer_en","lib/features/listening/presentation/lesson_practice_screen.dart;lib/features/listening/presentation/lesson_challenge_screen.dart"
"At three.","en-US","current","ready","assets/audio/CURRICULUM/78caa1c374c46c9b6a08135d.en.v1.mp3","core_en;challenge_answer_en","lib/features/listening/presentation/lesson_practice_screen.dart;lib/features/listening/presentation/lesson_challenge_screen.dart"
"Ăn kem: Take photos hay Eat ice cream?","vi-VN","current","ready","assets/audio/CURRICULUM/333f8f21e2c9d428df3a10b0.vi.v1.mp3","challenge_question","lib/features/listening/presentation/lesson_challenge_screen.dart"
"Ăn kem.","vi-VN","current;catalog_only","ready","assets/audio/CURRICULUM/c1126c50044a88f7ba2421ce.vi.v1.mp3","core_vi;challenge_answer_vi","lib/features/listening/presentation/lesson_practice_screen.dart;assets/data/listening_lessons.json"
"Ăn sáng: Sleep early hay Eat breakfast?","vi-VN","audio_catalog_only","ready","assets/audio/CURRICULUM/2c8537798b91cb87d489fbd0.vi.v1.mp3","audio_not_traced","assets/data/curriculum_audio.json"
"Ăn sáng.","vi-VN","current;catalog_only","ready","assets/audio/CURRICULUM/7253d6802b05469d1c6b5540.vi.v1.mp3","core_vi;challenge_answer_vi","lib/features/listening/presentation/lesson_practice_screen.dart;assets/data/listening_lessons.json"
"Ăn trưa vào buổi trưa: Lunch at noon hay Play after school?","vi-VN","audio_catalog_only","ready","assets/audio/CURRICULUM/835095bae723b60808d02863.vi.v1.mp3","audio_not_traced","assets/data/curriculum_audio.json"
"Ăn trưa vào buổi trưa.","vi-VN","current;catalog_only","ready","assets/audio/CURRICULUM/baeff1c8f8cdcc7ab7b60aa0.vi.v1.mp3","core_vi;challenge_answer_vi","lib/features/listening/presentation/lesson_practice_screen.dart;assets/data/listening_lessons.json"
"Ăn: Eat hay Play?","vi-VN","audio_catalog_only","ready","assets/audio/CURRICULUM/e79ebfe0bb5817e02379aa74.vi.v1.mp3","audio_not_traced","assets/data/curriculum_audio.json"
"Ăn: Play hay Eat?","vi-VN","current","ready","assets/audio/CURRICULUM/73c557f7f267cd686a869bdf.vi.v1.mp3","challenge_question","lib/features/listening/presentation/lesson_challenge_screen.dart"
"Ăn.","vi-VN","current;catalog_only","ready","assets/audio/CURRICULUM/b3bbb893833e18c1812cb176.vi.v1.mp3","core_vi;challenge_answer_vi","lib/features/listening/presentation/lesson_practice_screen.dart;assets/data/listening_lessons.json"
"B. Ball.","en-US","current","ready","assets/audio/CURRICULUM/f68cae875b57e1226eda167a.en.v1.mp3","core_en","lib/features/listening/presentation/lesson_practice_screen.dart"
"B. Book.","en-US","current","ready","assets/audio/CURRICULUM/2df73de1c9703ac87ee4eda2.en.v1.mp3","core_en","lib/features/listening/presentation/lesson_practice_screen.dart"
"Ba cây bút chì: Five apples hay Three pencils?","vi-VN","current","ready","assets/audio/CURRICULUM/5a283f7c019b5d8fb23a08e6.vi.v1.mp3","challenge_question","lib/features/listening/presentation/lesson_challenge_screen.dart"
"Ba cây bút chì.","vi-VN","current;catalog_only","ready","assets/audio/CURRICULUM/651d48176a9de1ee6fe64d9d.vi.v1.mp3","core_vi;challenge_answer_vi","lib/features/listening/presentation/lesson_practice_screen.dart;assets/data/listening_lessons.json"
"Ba của mình: My brother hay My dad?","vi-VN","current","ready","assets/audio/CURRICULUM/9dbdd4fdf994e58697760a7a.vi.v1.mp3","challenge_question","lib/features/listening/presentation/lesson_challenge_screen.dart"
"Ba của mình.","vi-VN","current;catalog_only","ready","assets/audio/CURRICULUM/53cfcfef1d97d162aa1d0514.vi.v1.mp3","core_vi;challenge_answer_vi","lib/features/listening/presentation/lesson_practice_screen.dart;assets/data/listening_lessons.json"
"Ba tiếng vỗ tay: Three claps hay Four claps?","vi-VN","current","ready","assets/audio/CURRICULUM/a1d04de41f979b91631a012e.vi.v1.mp3","challenge_question","lib/features/listening/presentation/lesson_challenge_screen.dart"
"Ba tiếng vỗ tay.","vi-VN","current;catalog_only","ready","assets/audio/CURRICULUM/aa1b33249accd007e5c33898.vi.v1.mp3","core_vi;challenge_answer_vi","lib/features/listening/presentation/lesson_practice_screen.dart;assets/data/listening_lessons.json"
"Ba: Brother hay Dad?","vi-VN","current","ready","assets/audio/CURRICULUM/e16fbadb3cb5401e07737210.vi.v1.mp3","challenge_question","lib/features/listening/presentation/lesson_challenge_screen.dart"
"Ba: Dad hay Brother?","vi-VN","audio_catalog_only","ready","assets/audio/CURRICULUM/400f7794752c49f8411880cc.vi.v1.mp3","audio_not_traced","assets/data/curriculum_audio.json"
"Ba: Three hay Four?","vi-VN","current","ready","assets/audio/CURRICULUM/71c8c73a57bbd9630eb78f61.vi.v1.mp3","challenge_question","lib/features/listening/presentation/lesson_challenge_screen.dart"
"Ba.","vi-VN","current;catalog_only","ready","assets/audio/CURRICULUM/608571ae0360c3fd18c829ca.vi.v1.mp3","core_vi;challenge_answer_vi","lib/features/listening/presentation/lesson_practice_screen.dart;assets/data/listening_lessons.json"
"Bạch tuộc: Octopus hay Pencil?","vi-VN","current","ready","assets/audio/CURRICULUM/9ba8ca940cc53ebcff9ba84e.vi.v1.mp3","challenge_question","lib/features/listening/presentation/lesson_challenge_screen.dart"
"Bạch tuộc.","vi-VN","current;catalog_only","ready","assets/audio/CURRICULUM/b266e190d6f3c0e0c358e98c.vi.v1.mp3","core_vi;challenge_answer_vi","lib/features/listening/presentation/lesson_practice_screen.dart;assets/data/listening_lessons.json"
"Bài 1 con đã học xong rồi. Con có muốn học lại bài 1 không?","vi-VN","compatibility","missing_exact_audio","","main_flow","lib/features/voice_navigation/application/main_voice_assistant_flow.dart"
"Bài 1 con đã học xong rồi. Con muốn học lại bài 1 hay tiếp tục bài 2?","vi-VN","compatibility","missing_exact_audio","","main_flow","lib/features/voice_navigation/application/main_voice_assistant_flow.dart"
"Bài 1 con đã học xong rồi. Con muốn học lại bài 1 hay tiếp tục bài 3?","vi-VN","compatibility","missing_exact_audio","","main_flow","lib/features/voice_navigation/application/main_voice_assistant_flow.dart"
"Bài 2 con đã học xong rồi. Con có muốn học lại bài 2 không?","vi-VN","compatibility","missing_exact_audio","","main_flow","lib/features/voice_navigation/application/main_voice_assistant_flow.dart"
"Bài 2 con đã học xong rồi. Con muốn học lại bài 2 hay tiếp tục bài 1?","vi-VN","compatibility","missing_exact_audio","","main_flow","lib/features/voice_navigation/application/main_voice_assistant_flow.dart"
"Bài 2 con đã học xong rồi. Con muốn học lại bài 2 hay tiếp tục bài 3?","vi-VN","compatibility","missing_exact_audio","","main_flow","lib/features/voice_navigation/application/main_voice_assistant_flow.dart"
"Bài 3 con đã học xong rồi. Con có muốn học lại bài 3 không?","vi-VN","compatibility","missing_exact_audio","","main_flow","lib/features/voice_navigation/application/main_voice_assistant_flow.dart"
"Bài 3 con đã học xong rồi. Con muốn học lại bài 3 hay tiếp tục bài 1?","vi-VN","compatibility","missing_exact_audio","","main_flow","lib/features/voice_navigation/application/main_voice_assistant_flow.dart"
"Bài 3 con đã học xong rồi. Con muốn học lại bài 3 hay tiếp tục bài 2?","vi-VN","compatibility","missing_exact_audio","","main_flow","lib/features/voice_navigation/application/main_voice_assistant_flow.dart"
"Bài đầu tiên là A to I Letters. Mình cùng học các chữ cái và từ quen thuộc nhé. Bắt đầu nhé.","vi-VN","audio_catalog_only","ready","assets/audio/CURRICULUM/8f78310db3e8452e85622f7a.vi.v1.mp3","audio_not_traced","assets/data/curriculum_audio.json"
"Bài đầu tiên là A to I Words. Mình cùng học chữ cái qua những từ quen thuộc nhé. Bắt đầu nhé.","vi-VN","audio_catalog_only","ready","assets/audio/CURRICULUM/8985b7bb1dcca1da6d5c03e8.vi.v1.mp3","audio_not_traced","assets/data/curriculum_audio.json"
"Bài đầu tiên là Animal Names. Bạn đoán xem con gì? Bắt đầu nhé.","vi-VN","audio_catalog_only","ready","assets/audio/CURRICULUM/c7635ee9b394a35ee7992d52.vi.v1.mp3","audio_not_traced","assets/data/curriculum_audio.json"
"Bài đầu tiên là Animal Words. Mình cùng học con vật và khả năng của chúng nhé. Bắt đầu nhé.","vi-VN","audio_catalog_only","ready","assets/audio/CURRICULUM/415f60a9cc3b3ee4b564b2db.vi.v1.mp3","audio_not_traced","assets/data/curriculum_audio.json"
"Bài đầu tiên là Body Moves. Mình cùng học các hoạt động giữ cơ thể sạch khỏe nhé. Bắt đầu nhé.","vi-VN","audio_catalog_only","ready","assets/audio/CURRICULUM/424b2fc179bce23d1e09692f.vi.v1.mp3","audio_not_traced","assets/data/curriculum_audio.json"
"Bài đầu tiên là Body Words. Mình cùng học các bộ phận và động tác cơ thể nhé. Bắt đầu nhé.","vi-VN","audio_catalog_only","ready","assets/audio/CURRICULUM/6de05b5d801c8c1c7735f088.vi.v1.mp3","audio_not_traced","assets/data/curriculum_audio.json"
"Bài đầu tiên là Color Words. Mình cùng học màu sắc nhé. Bắt đầu nhé.","vi-VN","audio_catalog_only","ready","assets/audio/CURRICULUM/28ddb59189762b6f6a3d1575.vi.v1.mp3","audio_not_traced","assets/data/curriculum_audio.json"
"Bài đầu tiên là Colors on Things. Mình cùng học màu sắc và hình dạng của đồ vật nhé. Bắt đầu nhé.","vi-VN","audio_catalog_only","ready","assets/audio/CURRICULUM/0fc9a1b777544ad380948f3d.vi.v1.mp3","audio_not_traced","assets/data/curriculum_audio.json"
"Bài đầu tiên là Compare Two. Mình luyện cách so sánh và lựa chọn. Bắt đầu nhé.","vi-VN","audio_catalog_only","ready","assets/audio/CURRICULUM/41e6cb6994ae59dde25229a7.vi.v1.mp3","audio_not_traced","assets/data/curriculum_audio.json"
"Bài đầu tiên là Day Actions. Mình cùng học các hoạt động trong ngày nhé. Bắt đầu nhé.","vi-VN","audio_catalog_only","ready","assets/audio/CURRICULUM/648566e0d1427917aaf80c7d.vi.v1.mp3","audio_not_traced","assets/data/curriculum_audio.json"
"Bài đầu tiên là Family Words. Mình cùng học cách nói về gia đình nhé. Bắt đầu nhé.","vi-VN","audio_catalog_only","ready","assets/audio/CURRICULUM/b7cdb7aa2ce84fa3bb73d8b2.vi.v1.mp3","audio_not_traced","assets/data/curriculum_audio.json"
"Bài đầu tiên là Food Words. Mình cùng học đồ ăn và đồ uống nhé. Bắt đầu nhé.","vi-VN","audio_catalog_only","ready","assets/audio/CURRICULUM/6fe62ccf20965345e2071a49.vi.v1.mp3","audio_not_traced","assets/data/curriculum_audio.json"
"Bài đầu tiên là Healthy Actions. Mình luyện thói quen tốt cho sức khỏe. Bắt đầu nhé.","vi-VN","audio_catalog_only","ready","assets/audio/CURRICULUM/67277e2483b9703a2f20d4c4.vi.v1.mp3","audio_not_traced","assets/data/curriculum_audio.json"
"Bài đầu tiên là Hobby Time. Mình cùng luyện sở thích và khả năng nhé. Bắt đầu nhé.","vi-VN","audio_catalog_only","ready","assets/audio/CURRICULUM/c27f3ebc48bc28dbc710b162.vi.v1.mp3","audio_not_traced","assets/data/curriculum_audio.json"
"Bài đầu tiên là Menu Words. Mình luyện cách gọi món. Bắt đầu nhé.","vi-VN","audio_catalog_only","ready","assets/audio/CURRICULUM/18867ef4c7e146111e89ae2d.vi.v1.mp3","audio_not_traced","assets/data/curriculum_audio.json"
"Bài đầu tiên là My Devices. Mình cùng luyện thiết bị và cách sử dụng nhé. Bắt đầu nhé.","vi-VN","audio_catalog_only","ready","assets/audio/CURRICULUM/c0ed2ddbd04aafacb1f4ed80.vi.v1.mp3","audio_not_traced","assets/data/curriculum_audio.json"
"Bài đầu tiên là My Feelings. Mình cùng luyện cảm xúc và cách giúp bạn nhé. Bắt đầu nhé.","vi-VN","audio_catalog_only","ready","assets/audio/CURRICULUM/92c0a0e7b105bc357e3f9274.vi.v1.mp3","audio_not_traced","assets/data/curriculum_audio.json"
"Bài đầu tiên là My Goal. Bạn muốn cải thiện điều gì? Bắt đầu nhé.","vi-VN","audio_catalog_only","ready","assets/audio/CURRICULUM/d8a06f34441050b8daa26f4c.vi.v1.mp3","audio_not_traced","assets/data/curriculum_audio.json"
"Bài đầu tiên là My Opinion. Mình luyện cách nêu ý kiến và lý do. Bắt đầu nhé.","vi-VN","audio_catalog_only","ready","assets/audio/CURRICULUM/4273ac37c162e5fe1e096de3.vi.v1.mp3","audio_not_traced","assets/data/curriculum_audio.json"
"Bài đầu tiên là My Plan. Mình luyện kế hoạch tương lai và bước tiếp theo. Bắt đầu nhé.","vi-VN","audio_catalog_only","ready","assets/audio/CURRICULUM/bfca609223cbc99db9217e8b.vi.v1.mp3","audio_not_traced","assets/data/curriculum_audio.json"
"Bài đầu tiên là My Skills. Mình luyện cách nói về điểm mạnh. Bắt đầu nhé.","vi-VN","audio_catalog_only","ready","assets/audio/CURRICULUM/0e1b6f5740b15861d3254b27.vi.v1.mp3","audio_not_traced","assets/data/curriculum_audio.json"
"Bài đầu tiên là Numbers 1-10. Mình cùng học các số trong đời sống nhé. Bắt đầu nhé.","vi-VN","audio_catalog_only","ready","assets/audio/CURRICULUM/b7b3d4d2c886f702680d41eb.vi.v1.mp3","audio_not_traced","assets/data/curriculum_audio.json"
"Bài đầu tiên là One to Ten. Mình cùng học cách đếm số nhé. Bắt đầu nhé.","vi-VN","audio_catalog_only","ready","assets/audio/CURRICULUM/edefd41b13f9a5add45e1ef3.vi.v1.mp3","audio_not_traced","assets/data/curriculum_audio.json"
"Bài đầu tiên là Online Words. Mình luyện cách an toàn khi dùng mạng. Bắt đầu nhé.","vi-VN","audio_catalog_only","ready","assets/audio/CURRICULUM/164e59bf0b55de85a0842d34.vi.v1.mp3","audio_not_traced","assets/data/curriculum_audio.json"
"Bài đầu tiên là Place Words. Mình cùng học các địa điểm quen thuộc nhé. Bắt đầu nhé.","vi-VN","audio_catalog_only","ready","assets/audio/CURRICULUM/09a9863bc0cda89c22ce3a5e.vi.v1.mp3","audio_not_traced","assets/data/curriculum_audio.json"
"Bài đầu tiên là Plan the Day. Hôm nay được đi chơi. Chọn gì nhỉ? Bắt đầu nhé.","vi-VN","audio_catalog_only","ready","assets/audio/CURRICULUM/a5b06a8bfd198932087fc4cb.vi.v1.mp3","audio_not_traced","assets/data/curriculum_audio.json"
"Bài đầu tiên là Plan Words. Mình luyện cách hẹn và phản hồi lịch sự. Bắt đầu nhé.","vi-VN","audio_catalog_only","ready","assets/audio/CURRICULUM/1e5779cd7deff3b12236b363.vi.v1.mp3","audio_not_traced","assets/data/curriculum_audio.json"
"Bài đầu tiên là Play Together. Mình cùng học cách rủ bạn chơi, cuối bài còn có bài hát nhé. Bắt đầu nhé.","vi-VN","audio_catalog_only","ready","assets/audio/CURRICULUM/9032248a65c28a22355ca799.vi.v1.mp3","audio_not_traced","assets/data/curriculum_audio.json"
"Bài đầu tiên là Price & Budget. Mình luyện cách cân nhắc chi tiêu. Bắt đầu nhé.","vi-VN","audio_catalog_only","ready","assets/audio/CURRICULUM/68324cf24e069d59517bb2b1.vi.v1.mp3","audio_not_traced","assets/data/curriculum_audio.json"
"Bài đầu tiên là Private Info. Mình luyện cách bảo vệ thông tin cá nhân. Bắt đầu nhé.","vi-VN","audio_catalog_only","ready","assets/audio/CURRICULUM/4ec5f17eea7081acaac9547a.vi.v1.mp3","audio_not_traced","assets/data/curriculum_audio.json"
"Bài đầu tiên là Problem Phrases. Mình luyện cách nói vấn đề nhỏ và xin giúp đỡ. Bắt đầu nhé.","vi-VN","audio_catalog_only","ready","assets/audio/CURRICULUM/43e87a484c3a57d0191d4b39.vi.v1.mp3","audio_not_traced","assets/data/curriculum_audio.json"
"Bài đầu tiên là Save Resources. Mình luyện các hành động thân thiện môi trường. Bắt đầu nhé.","vi-VN","audio_catalog_only","ready","assets/audio/CURRICULUM/0e56c24c03dffc6ee6e3d72a.vi.v1.mp3","audio_not_traced","assets/data/curriculum_audio.json"
"Bài đầu tiên là School Subjects. Mình cùng luyện cách giao tiếp ở trường nhé. Bắt đầu nhé.","vi-VN","audio_catalog_only","ready","assets/audio/CURRICULUM/a0d14af3602c2be8a7bea98e.vi.v1.mp3","audio_not_traced","assets/data/curriculum_audio.json"
"Bài đầu tiên là School Words. Mình cùng học ngôn ngữ dùng ở lớp nhé. Bắt đầu nhé.","vi-VN","audio_catalog_only","ready","assets/audio/CURRICULUM/7f2af2a81cea8a5e07c800a9.vi.v1.mp3","audio_not_traced","assets/data/curriculum_audio.json"
"Bài đầu tiên là Shape Words. Mình cùng học hình dạng nhé. Bắt đầu nhé.","vi-VN","audio_catalog_only","ready","assets/audio/CURRICULUM/f610c2eda58d1599fcd217f2.vi.v1.mp3","audio_not_traced","assets/data/curriculum_audio.json"
"Bài đầu tiên là Shop Words. Mình cùng luyện cách hỏi giá và chọn món nhé. Bắt đầu nhé.","vi-VN","audio_catalog_only","ready","assets/audio/CURRICULUM/bdc7385293fa1ece45668125.vi.v1.mp3","audio_not_traced","assets/data/curriculum_audio.json"
"Bài đầu tiên là Shop Words. Mình luyện cách hỏi giá và chọn mua. Bắt đầu nhé.","vi-VN","audio_catalog_only","ready","assets/audio/CURRICULUM/7b7dcec881bd1f14f4348127.vi.v1.mp3","audio_not_traced","assets/data/curriculum_audio.json"
"Bài đầu tiên là Station Words. Mình luyện cách hỏi thông tin ở nhà ga. Bắt đầu nhé.","vi-VN","audio_catalog_only","ready","assets/audio/CURRICULUM/ce2dae4a5ed588ff8ae1ca2e.vi.v1.mp3","audio_not_traced","assets/data/curriculum_audio.json"
